paper_experiment_id,paper_group,runner,state,benchmark,target_model,training_policy,training_method,planner,data_limit,run_index,selection_source,candidate_source,selected_history_index,selected_loop_id,test_result_source,validation_metrics,test_metrics,diagnostics
ft-agent/main/aime25/run-3,ft-agent-main,ft-agent,succeeded,aime25,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,baseline,,,post_selection,"{""accuracy"": 0.0}","{""accuracy"": 0.0}",
ft-agent/main/chemcotbench_mol_edit/run-1,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 57.776666666666664}","{""accuracy"": 58.89000000000001}",
ft-agent/main/chemcotbench_mol_edit/run-2,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_output,,,post_selection,"{""accuracy"": 62.223333333333336}","{""accuracy"": 50.0}",
ft-agent/main/chemcotbench_mol_edit/run-3,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_output,,,post_selection,"{""accuracy"": 32.223333333333336}","{""accuracy"": 46.666666666666664}",
ft-agent/main/chemcotbench_mol_opt/run-1,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,durable_output,,,post_selection,"{""success_rate"": 32.333333333333336, ""valid_smiles_rate"": 78.66666666666667}","{""success_rate"": 31.333333333333332, ""valid_smiles_rate"": 80.33333333333333}",
ft-agent/main/chemcotbench_mol_opt/run-2,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_output,,,post_selection,"{""success_rate"": 35.0, ""valid_smiles_rate"": 78.66666666666667}","{""success_rate"": 36.666666666666664, ""valid_smiles_rate"": 83.66666666666667}",
ft-agent/main/chemcotbench_mol_opt/run-3,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_checkpoint,,,post_selection,"{""success_rate"": 31.666666666666668, ""valid_smiles_rate"": 74.33333333333333}","{""success_rate"": 31.333333333333332, ""valid_smiles_rate"": 75.66666666666667}",
ft-agent/main/chemcotbench_mol_und/run-1,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 56.0, ""mae"": 0.52, ""tanimoto_similarity"": 0.09}","{""accuracy"": 63.665, ""mae"": 0.5800000000000001, ""tanimoto_similarity"": 0.13}",
ft-agent/main/chemcotbench_mol_und/run-2,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 56.665, ""mae"": 0.2, ""tanimoto_similarity"": 0.18}","{""accuracy"": 63.0, ""mae"": 0.31, ""tanimoto_similarity"": 0.17}",
ft-agent/main/chemcotbench_mol_und/run-3,ft-agent-main,ft-agent,succeeded,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 63.0, ""mae"": 0.21000000000000002, ""tanimoto_similarity"": 0.27}","{""accuracy"": 68.0, ""mae"": 0.13, ""tanimoto_similarity"": 0.23}",
ft-agent/main/chemcotbench_reaction/run-1,ft-agent-main,ft-agent,succeeded,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 36.0, ""fingerprint_similarity"": 15.263333333333334}","{""accuracy"": 30.0, ""fingerprint_similarity"": 15.023333333333333}",
ft-agent/main/chemcotbench_reaction/run-2,ft-agent-main,ft-agent,succeeded,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,baseline,,,post_selection,"{""accuracy"": 36.0, ""fingerprint_similarity"": 15.163333333333334}","{""accuracy"": 32.0, ""fingerprint_similarity"": 14.83}",
ft-agent/main/chemcotbench_reaction/run-3,ft-agent-main,ft-agent,succeeded,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_checkpoint,,,post_selection,"{""accuracy"": 42.0, ""fingerprint_similarity"": 6.373333333333334}","{""accuracy"": 46.0, ""fingerprint_similarity"": 7.38}",
ft-agent/main/panorama_noc4pc/run-1,ft-agent-main,ft-agent,succeeded,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,durable_checkpoint,,,post_selection,"{""macro_f1"": 24.94}","{""macro_f1"": 29.33}",
ft-agent/main/panorama_noc4pc/run-2,ft-agent-main,ft-agent,succeeded,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_output,,,post_selection,"{""macro_f1"": 26.1}","{""macro_f1"": 30.15}",
ft-agent/main/panorama_noc4pc/run-3,ft-agent-main,ft-agent,succeeded,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_output,,,post_selection,"{""macro_f1"": 18.57}","{""macro_f1"": 23.94}",
ft-agent/main/panorama_par4pc/run-1,ft-agent-main,ft-agent,succeeded,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,durable_output,,,post_selection,"{""macro_f1"": 74.82}","{""macro_f1"": 72.34}",
ft-agent/main/panorama_par4pc/run-2,ft-agent-main,ft-agent,succeeded,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_output,,,post_selection,"{""macro_f1"": 74.07}","{""macro_f1"": 73.45}",
ft-agent/main/panorama_par4pc/run-3,ft-agent-main,ft-agent,succeeded,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_output,,,post_selection,"{""macro_f1"": 74.64}","{""macro_f1"": 73.76}",
ft-agent/main/panorama_pi4pc/run-1,ft-agent-main,ft-agent,succeeded,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""gold_hit_rate"": 51.0}","{""gold_hit_rate"": 43.0}",
ft-agent/main/panorama_pi4pc/run-2,ft-agent-main,ft-agent,succeeded,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,baseline,,,post_selection,"{""gold_hit_rate"": 51.0}","{""gold_hit_rate"": 43.0}",
ft-agent/main/panorama_pi4pc/run-3,ft-agent-main,ft-agent,succeeded,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_checkpoint,,,post_selection,"{""gold_hit_rate"": 59.0}","{""gold_hit_rate"": 59.0}",
ft-agent/main/tablebench_data_analysis/run-1,ft-agent-main,ft-agent,succeeded,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 33.507999999999996}","{""accuracy"": 33.236000000000004}",
ft-agent/main/tablebench_data_analysis/run-2,ft-agent-main,ft-agent,succeeded,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,baseline,,,post_selection,"{""accuracy"": 33.507999999999996}","{""accuracy"": 33.236000000000004}",
ft-agent/main/tablebench_data_analysis/run-3,ft-agent-main,ft-agent,succeeded,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_output,,,post_selection,"{""accuracy"": 35.968}","{""accuracy"": 31.294}",
ft-agent/main/tablebench_fact_checking/run-1,ft-agent-main,ft-agent,succeeded,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 81.25}","{""accuracy"": 77.08}",
ft-agent/main/tablebench_fact_checking/run-2,ft-agent-main,ft-agent,succeeded,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,baseline,,,post_selection,"{""accuracy"": 81.25}","{""accuracy"": 77.08}",
ft-agent/main/tablebench_fact_checking/run-3,ft-agent-main,ft-agent,succeeded,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,baseline,,,post_selection,"{""accuracy"": 81.25}","{""accuracy"": 77.08}",
ft-agent/main/tablebench_numerical_reasoning/run-1,ft-agent-main,ft-agent,succeeded,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,baseline,,,post_selection,"{""accuracy"": 41.0}","{""accuracy"": 34.0}",
ft-agent/main/tablebench_numerical_reasoning/run-2,ft-agent-main,ft-agent,succeeded,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,durable_output,,,post_selection,"{""accuracy"": 43.0}","{""accuracy"": 41.0}",
ft-agent/main/tablebench_numerical_reasoning/run-3,ft-agent-main,ft-agent,succeeded,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,baseline,,,post_selection,"{""accuracy"": 41.0}","{""accuracy"": 34.0}",
ft-agent/main/tablebench_visualization/run-1,ft-agent-main,ft-agent,succeeded,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,1,validation_sweep,durable_output,,,post_selection,"{""pass_at_1"": 16.0}","{""pass_at_1"": 16.0}",
ft-agent/main/tablebench_visualization/run-2,ft-agent-main,ft-agent,succeeded,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,2,validation_sweep,baseline,,,post_selection,"{""pass_at_1"": 8.0}","{""pass_at_1"": 8.0}",
ft-agent/main/tablebench_visualization/run-3,ft-agent-main,ft-agent,succeeded,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,paper,lora,gpt-5.2,2000,3,validation_sweep,durable_output,,,post_selection,"{""pass_at_1"": 20.0}","{""pass_at_1"": 12.0}",
