paper_group,benchmark,target_model,planner,data_limit,split,metric,label,unit,higher_is_better,n,expected_n,mean,std,experiment_ids
base-7b,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,,,test,fingerprint_similarity,FTS,percent,True,1,1,14.83,,['base/7b/chemcotbench_reaction']
base-7b,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,36.0,,['base/7b/chemcotbench_reaction']
base-7b,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,,,validation,fingerprint_similarity,FTS,percent,True,1,1,15.263333333333334,,['base/7b/chemcotbench_reaction']
base-7b,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,,,test,macro_f1,F1,percent,True,1,1,14.29,,['base/7b/panorama_noc4pc']
base-7b,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,,,validation,macro_f1,F1,percent,True,1,1,12.15,,['base/7b/panorama_noc4pc']
base-7b,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,,,test,macro_f1,F1,percent,True,1,1,60.77,,['base/7b/panorama_par4pc']
base-7b,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,,,validation,macro_f1,F1,percent,True,1,1,64.59,,['base/7b/panorama_par4pc']
base-7b,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,,,test,gold_hit_rate,Acc,percent,True,1,1,43.0,,['base/7b/panorama_pi4pc']
base-7b,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,,,validation,gold_hit_rate,Acc,percent,True,1,1,51.0,,['base/7b/panorama_pi4pc']
base-7b,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,33.236000000000004,,['base/7b/tablebench_data_analysis']
base-7b,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,33.507999999999996,,['base/7b/tablebench_data_analysis']
base-7b,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,77.08,,['base/7b/tablebench_fact_checking']
base-7b,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,81.25,,['base/7b/tablebench_fact_checking']
base-7b,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,34.0,,['base/7b/tablebench_numerical_reasoning']
base-7b,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,41.0,,['base/7b/tablebench_numerical_reasoning']
base-7b,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,,,test,pass_at_1,P@1,percent,True,1,1,8.0,,['base/7b/tablebench_visualization']
base-7b,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,,,validation,pass_at_1,P@1,percent,True,1,1,8.0,,['base/7b/tablebench_visualization']
ft-agent-main,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,3,65.19366666666666,0.1154700538379268,"['ft-agent/main/FinanceIQ_gen/run-1', 'ft-agent/main/FinanceIQ_gen/run-2', 'ft-agent/main/FinanceIQ_gen/run-3']"
ft-agent-main,FinanceIQ_gen,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,3,74.345,0.0,"['ft-agent/main/FinanceIQ_gen/run-1', 'ft-agent/main/FinanceIQ_gen/run-2', 'ft-agent/main/FinanceIQ_gen/run-3']"
ft-agent-main,aime25,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,3,2.223333333333333,3.850926295494804,"['ft-agent/main/aime25/run-1', 'ft-agent/main/aime25/run-2', 'ft-agent/main/aime25/run-3']"
ft-agent-main,aime25,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,3,2.223333333333333,3.850926295494804,"['ft-agent/main/aime25/run-1', 'ft-agent/main/aime25/run-2', 'ft-agent/main/aime25/run-3']"
ft-agent-main,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,3,51.852222222222224,6.318664005532726,"['ft-agent/main/chemcotbench_mol_edit/run-1', 'ft-agent/main/chemcotbench_mol_edit/run-2', 'ft-agent/main/chemcotbench_mol_edit/run-3']"
ft-agent-main,chemcotbench_mol_edit,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,3,50.74111111111111,16.19025266885855,"['ft-agent/main/chemcotbench_mol_edit/run-1', 'ft-agent/main/chemcotbench_mol_edit/run-2', 'ft-agent/main/chemcotbench_mol_edit/run-3']"
ft-agent-main,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,success_rate,SR,percent,True,3,3,33.11111111111111,3.0792014356780033,"['ft-agent/main/chemcotbench_mol_opt/run-1', 'ft-agent/main/chemcotbench_mol_opt/run-2', 'ft-agent/main/chemcotbench_mol_opt/run-3']"
ft-agent-main,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,valid_smiles_rate,VS,percent,True,3,3,79.8888888888889,4.018475848894472,"['ft-agent/main/chemcotbench_mol_opt/run-1', 'ft-agent/main/chemcotbench_mol_opt/run-2', 'ft-agent/main/chemcotbench_mol_opt/run-3']"
ft-agent-main,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,success_rate,SR,percent,True,3,3,33.0,1.7638342073763928,"['ft-agent/main/chemcotbench_mol_opt/run-1', 'ft-agent/main/chemcotbench_mol_opt/run-2', 'ft-agent/main/chemcotbench_mol_opt/run-3']"
ft-agent-main,chemcotbench_mol_opt,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,valid_smiles_rate,VS,percent,True,3,3,77.22222222222223,2.501851166488384,"['ft-agent/main/chemcotbench_mol_opt/run-1', 'ft-agent/main/chemcotbench_mol_opt/run-2', 'ft-agent/main/chemcotbench_mol_opt/run-3']"
ft-agent-main,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,3,64.88833333333334,2.7152179163620245,"['ft-agent/main/chemcotbench_mol_und/run-1', 'ft-agent/main/chemcotbench_mol_und/run-2', 'ft-agent/main/chemcotbench_mol_und/run-3']"
ft-agent-main,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,mae,MAE,absolute,False,3,3,0.34,0.22649503305812252,"['ft-agent/main/chemcotbench_mol_und/run-1', 'ft-agent/main/chemcotbench_mol_und/run-2', 'ft-agent/main/chemcotbench_mol_und/run-3']"
ft-agent-main,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,tanimoto_similarity,TMS,ratio,True,3,3,0.17666666666666667,0.050332229568471665,"['ft-agent/main/chemcotbench_mol_und/run-1', 'ft-agent/main/chemcotbench_mol_und/run-2', 'ft-agent/main/chemcotbench_mol_und/run-3']"
ft-agent-main,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,3,58.555,3.8638161188131095,"['ft-agent/main/chemcotbench_mol_und/run-1', 'ft-agent/main/chemcotbench_mol_und/run-2', 'ft-agent/main/chemcotbench_mol_und/run-3']"
ft-agent-main,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,mae,MAE,absolute,False,3,3,0.31,0.18193405398660253,"['ft-agent/main/chemcotbench_mol_und/run-1', 'ft-agent/main/chemcotbench_mol_und/run-2', 'ft-agent/main/chemcotbench_mol_und/run-3']"
ft-agent-main,chemcotbench_mol_und,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,tanimoto_similarity,TMS,ratio,True,3,3,0.18000000000000002,0.09000000000000001,"['ft-agent/main/chemcotbench_mol_und/run-1', 'ft-agent/main/chemcotbench_mol_und/run-2', 'ft-agent/main/chemcotbench_mol_und/run-3']"
ft-agent-main,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,3,36.0,8.717797887081348,"['ft-agent/main/chemcotbench_reaction/run-1', 'ft-agent/main/chemcotbench_reaction/run-2', 'ft-agent/main/chemcotbench_reaction/run-3']"
ft-agent-main,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,fingerprint_similarity,FTS,percent,True,3,3,12.411111111111111,4.358142230779499,"['ft-agent/main/chemcotbench_reaction/run-1', 'ft-agent/main/chemcotbench_reaction/run-2', 'ft-agent/main/chemcotbench_reaction/run-3']"
ft-agent-main,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,3,38.0,3.4641016151377544,"['ft-agent/main/chemcotbench_reaction/run-1', 'ft-agent/main/chemcotbench_reaction/run-2', 'ft-agent/main/chemcotbench_reaction/run-3']"
ft-agent-main,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,fingerprint_similarity,FTS,percent,True,3,3,12.266666666666667,5.104021290446713,"['ft-agent/main/chemcotbench_reaction/run-1', 'ft-agent/main/chemcotbench_reaction/run-2', 'ft-agent/main/chemcotbench_reaction/run-3']"
ft-agent-main,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,macro_f1,F1,percent,True,3,3,27.80666666666667,3.3736379967823047,"['ft-agent/main/panorama_noc4pc/run-1', 'ft-agent/main/panorama_noc4pc/run-2', 'ft-agent/main/panorama_noc4pc/run-3']"
ft-agent-main,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,macro_f1,F1,percent,True,3,3,23.203333333333333,4.054285798181147,"['ft-agent/main/panorama_noc4pc/run-1', 'ft-agent/main/panorama_noc4pc/run-2', 'ft-agent/main/panorama_noc4pc/run-3']"
ft-agent-main,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,macro_f1,F1,percent,True,3,3,73.18333333333334,0.7466145815166847,"['ft-agent/main/panorama_par4pc/run-1', 'ft-agent/main/panorama_par4pc/run-2', 'ft-agent/main/panorama_par4pc/run-3']"
ft-agent-main,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,macro_f1,F1,percent,True,3,3,74.50999999999999,0.3915354390090391,"['ft-agent/main/panorama_par4pc/run-1', 'ft-agent/main/panorama_par4pc/run-2', 'ft-agent/main/panorama_par4pc/run-3']"
ft-agent-main,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,gold_hit_rate,Acc,percent,True,3,3,48.333333333333336,9.237604307034012,"['ft-agent/main/panorama_pi4pc/run-1', 'ft-agent/main/panorama_pi4pc/run-2', 'ft-agent/main/panorama_pi4pc/run-3']"
ft-agent-main,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,gold_hit_rate,Acc,percent,True,3,3,53.666666666666664,4.618802153517006,"['ft-agent/main/panorama_pi4pc/run-1', 'ft-agent/main/panorama_pi4pc/run-2', 'ft-agent/main/panorama_pi4pc/run-3']"
ft-agent-main,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,3,32.58866666666667,1.1212142227662554,"['ft-agent/main/tablebench_data_analysis/run-1', 'ft-agent/main/tablebench_data_analysis/run-2', 'ft-agent/main/tablebench_data_analysis/run-3']"
ft-agent-main,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,3,34.327999999999996,1.420281662206484,"['ft-agent/main/tablebench_data_analysis/run-1', 'ft-agent/main/tablebench_data_analysis/run-2', 'ft-agent/main/tablebench_data_analysis/run-3']"
ft-agent-main,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,3,77.08,0.0,"['ft-agent/main/tablebench_fact_checking/run-1', 'ft-agent/main/tablebench_fact_checking/run-2', 'ft-agent/main/tablebench_fact_checking/run-3']"
ft-agent-main,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,3,81.25,0.0,"['ft-agent/main/tablebench_fact_checking/run-1', 'ft-agent/main/tablebench_fact_checking/run-2', 'ft-agent/main/tablebench_fact_checking/run-3']"
ft-agent-main,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,accuracy,Acc,percent,True,3,3,36.333333333333336,4.041451884327381,"['ft-agent/main/tablebench_numerical_reasoning/run-1', 'ft-agent/main/tablebench_numerical_reasoning/run-2', 'ft-agent/main/tablebench_numerical_reasoning/run-3']"
ft-agent-main,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,accuracy,Acc,percent,True,3,3,41.666666666666664,1.1547005383792515,"['ft-agent/main/tablebench_numerical_reasoning/run-1', 'ft-agent/main/tablebench_numerical_reasoning/run-2', 'ft-agent/main/tablebench_numerical_reasoning/run-3']"
ft-agent-main,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,test,pass_at_1,P@1,percent,True,3,3,12.0,4.0,"['ft-agent/main/tablebench_visualization/run-1', 'ft-agent/main/tablebench_visualization/run-2', 'ft-agent/main/tablebench_visualization/run-3']"
ft-agent-main,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,gpt-5.2,2000,validation,pass_at_1,P@1,percent,True,3,3,14.666666666666666,6.110100926607787,"['ft-agent/main/tablebench_visualization/run-1', 'ft-agent/main/tablebench_visualization/run-2', 'ft-agent/main/tablebench_visualization/run-3']"
