source_table,paper_group,benchmark,split,metric,mean,std,status,observed_n,observed_mean,observed_std,mean_delta,std_delta
ablation-val-test,ft-agent-planner-gpt-4o,tablebench_visualization,validation,pass_at_1,24.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,FinanceIQ_gen,test,accuracy,66.33,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,FinanceIQ_gen,validation,accuracy,75.55,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,aime25,test,accuracy,13.33,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,aime25,validation,accuracy,6.67,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,chemcotbench_mol_edit,test,accuracy,58.89,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,chemcotbench_mol_edit,validation,accuracy,63.33,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,panorama_pi4pc,test,gold_hit_rate,48.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,panorama_pi4pc,validation,gold_hit_rate,36.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,tablebench_visualization,test,pass_at_1,28.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-scale-5k,tablebench_visualization,validation,pass_at_1,20.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,FinanceIQ_gen,test,accuracy,58.47,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,FinanceIQ_gen,validation,accuracy,60.73,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,aime25,test,accuracy,0.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,aime25,validation,accuracy,6.67,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,chemcotbench_mol_edit,test,accuracy,54.55,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,chemcotbench_mol_edit,validation,accuracy,53.93,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,panorama_pi4pc,test,gold_hit_rate,34.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,panorama_pi4pc,validation,gold_hit_rate,31.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,tablebench_visualization,test,pass_at_1,24.0,,missing_observation,0,,,,
ablation-val-test,ft-agent-target-3b,tablebench_visualization,validation,pass_at_1,8.0,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-deepseek-v3.2,FinanceIQ_gen,test,accuracy,65.47,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-deepseek-v3.2,aime25,test,accuracy,6.67,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-deepseek-v3.2,chemcotbench_mol_edit,test,accuracy,50.0,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-deepseek-v3.2,panorama_pi4pc,test,gold_hit_rate,45.0,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-deepseek-v3.2,tablebench_visualization,test,pass_at_1,12.0,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-qwen3.5-397b-a17b,FinanceIQ_gen,test,accuracy,67.16,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-qwen3.5-397b-a17b,aime25,test,accuracy,6.67,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-qwen3.5-397b-a17b,chemcotbench_mol_edit,test,accuracy,34.0,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-qwen3.5-397b-a17b,panorama_pi4pc,test,gold_hit_rate,24.0,,missing_observation,0,,,,
frontier-agent-baselines,ft-agent-planner-qwen3.5-397b-a17b,tablebench_visualization,test,pass_at_1,28.0,,missing_observation,0,,,,
main-results,base-7b,FinanceIQ_gen,test,accuracy,65.1,,matched,1,65.327,,0.22700000000000387,
main-results,base-7b,aime25,test,accuracy,0.0,,matched,1,0.0,,0.0,
main-results,base-7b,chemcotbench_mol_edit,test,accuracy,22.2,,matched,1,21.11,,-1.0899999999999999,
main-results,base-7b,chemcotbench_mol_opt,test,success_rate,23.33,,matched,1,23.0,,-0.3299999999999983,
main-results,base-7b,chemcotbench_mol_opt,test,valid_smiles_rate,68.67,,matched,1,66.0,,-2.6700000000000017,
main-results,base-7b,chemcotbench_mol_und,test,accuracy,63.67,,matched,1,62.665,,-1.0050000000000026,
main-results,base-7b,chemcotbench_mol_und,test,mae,0.53,,matched,1,0.5800000000000001,,0.050000000000000044,
main-results,base-7b,chemcotbench_mol_und,test,tanimoto_similarity,0.09,,matched,1,0.13,,0.04000000000000001,
main-results,base-7b,chemcotbench_reaction,test,accuracy,30.0,,matched,1,32.0,,2.0,
main-results,base-7b,chemcotbench_reaction,test,fingerprint_similarity,15.59,,matched,1,14.83,,-0.7599999999999998,
main-results,base-7b,panorama_noc4pc,test,macro_f1,26.2,,matched,1,14.29,,-11.91,
main-results,base-7b,panorama_par4pc,test,macro_f1,57.78,,matched,1,60.77,,2.990000000000002,
main-results,base-7b,panorama_pi4pc,test,gold_hit_rate,34.0,,matched,1,43.0,,9.0,
main-results,base-7b,tablebench_data_analysis,test,accuracy,32.78,,matched,1,33.236000000000004,,0.45600000000000307,
main-results,base-7b,tablebench_fact_checking,test,accuracy,75.0,,matched,1,77.08,,2.0799999999999983,
main-results,base-7b,tablebench_numerical_reasoning,test,accuracy,32.0,,matched,1,34.0,,2.0,
main-results,base-7b,tablebench_visualization,test,pass_at_1,4.0,,matched,1,8.0,,4.0,
main-results,ft-agent-main,FinanceIQ_gen,test,accuracy,67.2,0.31,missing_observation,0,,,,
main-results,ft-agent-main,aime25,test,accuracy,11.11,3.82,missing_observation,0,,,,
main-results,ft-agent-main,chemcotbench_mol_edit,test,accuracy,54.44,2.94,missing_observation,0,,,,
main-results,ft-agent-main,chemcotbench_mol_opt,test,success_rate,34.44,2.17,missing_observation,0,,,,
main-results,ft-agent-main,chemcotbench_mol_opt,test,valid_smiles_rate,90.0,4.41,missing_observation,0,,,,
main-results,ft-agent-main,chemcotbench_mol_und,test,accuracy,67.55,5.68,missing_observation,0,,,,
main-results,ft-agent-main,chemcotbench_mol_und,test,mae,0.23,0.16,missing_observation,0,,,,
main-results,ft-agent-main,chemcotbench_mol_und,test,tanimoto_similarity,0.36,0.06,missing_observation,0,,,,
main-results,ft-agent-main,chemcotbench_reaction,test,accuracy,35.33,3.06,missing_observation,0,,,,
main-results,ft-agent-main,chemcotbench_reaction,test,fingerprint_similarity,30.92,11.22,missing_observation,0,,,,
main-results,ft-agent-main,panorama_noc4pc,test,macro_f1,36.81,4.13,missing_observation,0,,,,
main-results,ft-agent-main,panorama_par4pc,test,macro_f1,67.61,2.4,missing_observation,0,,,,
main-results,ft-agent-main,panorama_pi4pc,test,gold_hit_rate,49.0,4.36,missing_observation,0,,,,
main-results,ft-agent-main,tablebench_data_analysis,test,accuracy,34.71,0.28,missing_observation,0,,,,
main-results,ft-agent-main,tablebench_fact_checking,test,accuracy,81.25,2.08,missing_observation,0,,,,
main-results,ft-agent-main,tablebench_numerical_reasoning,test,accuracy,45.33,1.15,missing_observation,0,,,,
main-results,ft-agent-main,tablebench_visualization,test,pass_at_1,29.33,6.11,missing_observation,0,,,,
main-results-val,base-7b,FinanceIQ_gen,validation,accuracy,73.0,,matched,1,74.345,,1.3449999999999989,
main-results-val,base-7b,aime25,validation,accuracy,0.0,,matched,1,0.0,,0.0,
main-results-val,base-7b,chemcotbench_mol_edit,validation,accuracy,34.4,,matched,1,30.0,,-4.399999999999999,
main-results-val,base-7b,chemcotbench_mol_opt,validation,success_rate,21.0,,matched,1,21.0,,0.0,
main-results-val,base-7b,chemcotbench_mol_opt,validation,valid_smiles_rate,66.0,,matched,1,67.66666666666667,,1.6666666666666714,
main-results-val,base-7b,chemcotbench_mol_und,validation,accuracy,56.0,,matched,1,56.0,,0.0,
main-results-val,base-7b,chemcotbench_mol_und,validation,mae,0.52,,matched,1,0.52,,0.0,
main-results-val,base-7b,chemcotbench_mol_und,validation,tanimoto_similarity,0.09,,matched,1,0.09,,0.0,
main-results-val,base-7b,chemcotbench_reaction,validation,accuracy,36.0,,matched,1,36.0,,0.0,
main-results-val,base-7b,chemcotbench_reaction,validation,fingerprint_similarity,14.93,,matched,1,15.263333333333334,,0.3333333333333339,
main-results-val,base-7b,panorama_noc4pc,validation,macro_f1,27.4,,matched,1,12.15,,-15.249999999999998,
main-results-val,base-7b,panorama_par4pc,validation,macro_f1,60.63,,matched,1,64.59,,3.960000000000001,
main-results-val,base-7b,panorama_pi4pc,validation,gold_hit_rate,29.0,,matched,1,51.0,,22.0,
main-results-val,base-7b,tablebench_data_analysis,validation,accuracy,28.87,,matched,1,33.507999999999996,,4.637999999999995,
main-results-val,base-7b,tablebench_fact_checking,validation,accuracy,83.3,,matched,1,81.25,,-2.049999999999997,
main-results-val,base-7b,tablebench_numerical_reasoning,validation,accuracy,40.0,,matched,1,41.0,,1.0,
main-results-val,base-7b,tablebench_visualization,validation,pass_at_1,8.0,,matched,1,8.0,,0.0,
main-results-val,ft-agent-main,FinanceIQ_gen,validation,accuracy,74.04,1.1,missing_observation,0,,,,
main-results-val,ft-agent-main,aime25,validation,accuracy,13.32,6.67,missing_observation,0,,,,
main-results-val,ft-agent-main,chemcotbench_mol_edit,validation,accuracy,57.04,5.01,missing_observation,0,,,,
main-results-val,ft-agent-main,chemcotbench_mol_opt,validation,success_rate,36.22,2.36,missing_observation,0,,,,
main-results-val,ft-agent-main,chemcotbench_mol_opt,validation,valid_smiles_rate,88.78,6.38,missing_observation,0,,,,
main-results-val,ft-agent-main,chemcotbench_mol_und,validation,accuracy,62.78,5.96,missing_observation,0,,,,
main-results-val,ft-agent-main,chemcotbench_mol_und,validation,mae,0.24,0.17,missing_observation,0,,,,
main-results-val,ft-agent-main,chemcotbench_mol_und,validation,tanimoto_similarity,0.26,0.08,missing_observation,0,,,,
main-results-val,ft-agent-main,chemcotbench_reaction,validation,accuracy,39.33,3.06,missing_observation,0,,,,
main-results-val,ft-agent-main,chemcotbench_reaction,validation,fingerprint_similarity,30.64,11.93,missing_observation,0,,,,
main-results-val,ft-agent-main,panorama_noc4pc,validation,macro_f1,34.44,4.82,missing_observation,0,,,,
main-results-val,ft-agent-main,panorama_par4pc,validation,macro_f1,67.5,6.89,missing_observation,0,,,,
main-results-val,ft-agent-main,panorama_pi4pc,validation,gold_hit_rate,38.67,2.31,missing_observation,0,,,,
main-results-val,ft-agent-main,tablebench_data_analysis,validation,accuracy,33.56,3.16,missing_observation,0,,,,
main-results-val,ft-agent-main,tablebench_fact_checking,validation,accuracy,82.64,4.82,missing_observation,0,,,,
main-results-val,ft-agent-main,tablebench_numerical_reasoning,validation,accuracy,46.67,4.62,missing_observation,0,,,,
main-results-val,ft-agent-main,tablebench_visualization,validation,pass_at_1,16.0,4.0,missing_observation,0,,,,
