paper_group,benchmark,target_model,planner,data_limit,split,metric,label,unit,higher_is_better,n,expected_n,mean,std,experiment_ids
base-7b,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,,,test,fingerprint_similarity,FTS,percent,True,1,1,14.83,,['base/7b/chemcotbench_reaction']
base-7b,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,36.0,,['base/7b/chemcotbench_reaction']
base-7b,chemcotbench_reaction,Qwen/Qwen2.5-7B-Instruct,,,validation,fingerprint_similarity,FTS,percent,True,1,1,15.263333333333334,,['base/7b/chemcotbench_reaction']
base-7b,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,,,test,macro_f1,F1,percent,True,1,1,14.29,,['base/7b/panorama_noc4pc']
base-7b,panorama_noc4pc,Qwen/Qwen2.5-7B-Instruct,,,validation,macro_f1,F1,percent,True,1,1,12.15,,['base/7b/panorama_noc4pc']
base-7b,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,,,test,macro_f1,F1,percent,True,1,1,60.77,,['base/7b/panorama_par4pc']
base-7b,panorama_par4pc,Qwen/Qwen2.5-7B-Instruct,,,validation,macro_f1,F1,percent,True,1,1,64.59,,['base/7b/panorama_par4pc']
base-7b,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,,,test,gold_hit_rate,Acc,percent,True,1,1,43.0,,['base/7b/panorama_pi4pc']
base-7b,panorama_pi4pc,Qwen/Qwen2.5-7B-Instruct,,,validation,gold_hit_rate,Acc,percent,True,1,1,51.0,,['base/7b/panorama_pi4pc']
base-7b,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,33.236000000000004,,['base/7b/tablebench_data_analysis']
base-7b,tablebench_data_analysis,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,33.507999999999996,,['base/7b/tablebench_data_analysis']
base-7b,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,77.08,,['base/7b/tablebench_fact_checking']
base-7b,tablebench_fact_checking,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,81.25,,['base/7b/tablebench_fact_checking']
base-7b,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,,,test,accuracy,Acc,percent,True,1,1,34.0,,['base/7b/tablebench_numerical_reasoning']
base-7b,tablebench_numerical_reasoning,Qwen/Qwen2.5-7B-Instruct,,,validation,accuracy,Acc,percent,True,1,1,41.0,,['base/7b/tablebench_numerical_reasoning']
base-7b,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,,,test,pass_at_1,P@1,percent,True,1,1,8.0,,['base/7b/tablebench_visualization']
base-7b,tablebench_visualization,Qwen/Qwen2.5-7B-Instruct,,,validation,pass_at_1,P@1,percent,True,1,1,8.0,,['base/7b/tablebench_visualization']
